title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Con Calma - Remix,Daddy Yankee,latin,2019,94,87,74,-3,4,61,181,17,5,76
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,66,61,-7,20,16,176,1,3,75
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,79,75,-6,7,61,206,21,12,75
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,76,53,-5,9,65,260,7,34,70
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114,79,60,-6,42,24,217,1,7,69
Kills You Slowly,The Chainsmokers,electropop,2019,150,44,70,-9,13,23,213,6,6,67
Blinding Lights,The Weeknd,unknown,2020,171,73,51,-6,9,33,200,0,6,91
Circles,Post Malone,unknown,2019,120,76,70,-3,9,55,215,19,4,87
The Box,Roddy Ricch,rap melódico,2019,117,59,90,-7,79,64,197,10,6,85
Don't Start Now,Dua Lipa,pop,2020,124,79,79,-5,10,68,183,1,8,84
ROCKSTAR (feat. Roddy Ricch),DaBaby;Roddy Ricch,rap melódico,2020,90,69,75,-8,10,50,182,25,16,77
Adore You,Harry Styles,unknown,2019,99,77,68,-4,10,57,207,2,5,87
Life Is Good (feat. Drake),Future;Drake,rap,2020,142,57,80,-7,15,54,238,7,49,77
Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,37
The Bones,Maren Morris,country,2019,77,57,61,-7,10,33,197,28,3,68
Someone You Loved,Lewis Capaldi,o lado suave do pop,2019,110,40,50,-6,10,45,182,75,3,88
Say So,Doja Cat,unknown,2019,111,67,79,-5,9,78,238,26,16,80
I Hope,Gabby Barrett,country,2020,76,54,47,-6,11,38,211,10,4,74
WHATS POPPIN,Jack Harlow,unknown,2020,145,60,92,-7,27,83,140,2,24,74
Dance Monkey,Tones And I,unknown,2019,98,59,82,-6,15,51,209,69,9,69
Savage Remix (feat. Beyoncé),Megan Thee Stallion;Beyoncé,unknown,2020,169,74,75,-5,13,64,242,2,33,61
ROXANNE,Arizona Zervas,unknown,2019,117,60,62,-6,46,46,164,5,15,78
Intentions (feat. Quavo),Justin Bieber;Quavo,unknown,2020,148,55,81,-7,10,88,213,30,6,79
everything i wanted,Billie Eilish,unknown,2019,120,22,70,-14,11,24,245,90,10,84
Roses - Imanbek Remix,SAINt JHN;Imanbek,slap house,2020,122,72,77,-5,36,86,177,1,5,2
Watermelon Sugar,Harry Styles,unknown,2019,95,82,55,-4,34,56,174,12,5,87
Before You Go,Lewis Capaldi,o lado suave do pop,2019,112,57,46,-5,9,18,215,61,6,84
Falling,Trevor Daniel,unknown,2020,127,43,78,-9,9,24,159,12,4,1
"10,000 Hours (with Justin Bieber)",Dan + Shay;Justin Bieber,country,2019,90,63,65,-5,11,43,168,15,3,72
WAP (feat. Megan Thee Stallion),Cardi B;Megan Thee Stallion,unknown,2020,133,45,94,-8,8,36,188,2,38,77
Ballin' (with Roddy Ricch),Mustard;Roddy Ricch,rap melódico,2019,97,55,81,-7,15,24,180,39,7,77
hot girl bummer,blackbear,unknown,2020,130,56,78,-7,38,68,188,12,8,1
Blueberry Faygo,Lil Mosey,rap melódico,2020,99,55,77,-8,13,35,163,21,4,74
Heartless,The Weeknd,unknown,2020,170,75,54,-6,16,25,198,2,15,79
BOP,DaBaby,unknown,2019,127,79,77,-4,13,84,160,19,37,76
Lose You To Love Me,Selena Gomez,unknown,2020,103,34,52,-9,21,10,206,55,4,79
Good as Hell,Lizzo,unknown,2019,96,92,68,-3,44,54,160,26,9,36
Toosie Slide,Drake,rap,2020,82,49,83,-9,11,84,247,29,21,72
Break My Heart,Dua Lipa,pop,2020,113,73,73,-3,35,47,222,17,9,81
Chasin' You,Morgan Wallen,country,2018,97,59,63,-6,11,49,205,66,3,5
Savage Love (Laxed - Siren Beat),Jawsh 685;Jason Derulo,unknown,2020,150,48,77,-9,27,76,171,23,8,72
No Guidance (feat. Drake),Chris Brown;Drake,r&b,2019,93,45,70,-7,16,14,261,12,15,80
My Oh My (feat. DaBaby),Camila Cabello;DaBaby,unknown,2019,105,49,72,-6,9,38,171,2,3,76
Dynamite,BTS,k-pop,2020,114,76,75,-4,9,74,199,1,10,4
Go Crazy,Chris Brown;Young Thug,r&b,2020,94,58,76,-9,25,58,177,32,14,79
High Fashion (feat. Mustard),Roddy Ricch;Mustard,rap melódico,2019,98,50,83,-8,30,51,220,27,11,73
Laugh Now Cry Later (feat. Lil Durk),Drake;Lil Durk,rap,2020,134,52,76,-9,11,52,261,24,13,80
Woah,Lil Baby,unknown,2020,143,60,88,-6,18,41,183,2,25,68
death bed (coffee for your head),Powfu;beabadoobee,bedroom pop,2020,144,43,72,-9,70,35,173,73,14,60
Señorita,Shawn Mendes;Camila Cabello,unknown,2019,117,55,76,-6,8,75,191,4,3,82
HIGHEST IN THE ROOM,Travis Scott,rap,2019,76,43,60,-9,21,6,176,5,3,85
bad guy,Billie Eilish,unknown,2019,135,42,70,-11,10,56,194,33,38,83
Mood (feat. iann dior),24kGoldn;iann dior,rap melódico,2020,91,72,70,-4,27,76,141,22,4,7
Rain On Me (with Ariana Grande),Lady Gaga;Ariana Grande,art pop,2020,123,86,67,-4,32,65,182,2,4,74
For The Night (feat. Lil Baby & DaBaby),Pop Smoke;Lil Baby;DaBaby,drill do brooklyn,2020,126,59,82,-7,19,35,190,11,20,56
RITMO (Bad Boys For Life),Black Eyed Peas;J Balvin,reggaeton,2020,105,72,74,-7,24,67,222,3,5,42
Heart On Ice,Rod Wave,unknown,2019,158,39,73,-8,14,24,160,5,7,0
Nobody But You (Duet with Gwen Stefani),Blake Shelton;Gwen Stefani,country,2019,144,65,46,-6,17,23,195,11,3,62
Trampoline,SHAED,unknown,2018,127,41,69,-8,7,54,184,49,3,3
Come & Go (with Marshmello),Juice WRLD;Marshmello,rap melódico,2020,145,81,62,-5,16,54,205,2,7,78
Truth Hurts,Lizzo,unknown,2019,158,62,72,-3,12,41,173,11,11,57
If the World Was Ending (feat. Julia Michaels),JP Saxe;Julia Michaels,unknown,2020,75,48,54,-10,11,67,212,87,10,39
We Paid (feat. 42 Dugg),Lil Baby;42 Dugg,unknown,2020,135,54,93,-5,9,56,182,14,29,53
Yummy,Justin Bieber,unknown,2020,146,51,68,-7,12,50,209,34,10,72
One Man Band,Old Dominion,country,2019,76,36,71,-8,11,48,186,68,3,74
Got What I Got,Jason Aldean,country,2019,160,58,51,-7,51,30,178,62,3,70
Sunday Best,Surfaces,unknown,2019,112,52,88,-7,7,69,159,18,6,5
Godzilla (feat. Juice WRLD),Eminem;Juice WRLD,rap,2020,166,74,81,-5,29,83,211,14,34,83
Bandit (with YoungBoy Never Broke Again),Juice WRLD;YoungBoy Never Broke Again,rap melódico,2019,180,63,47,-6,13,42,189,7,34,76
Party Girl,StaySolidRocky,unknown,2020,130,43,73,-10,10,62,148,75,6,49
Die From A Broken Heart,Maddie & Tae,country,2020,76,52,60,-7,29,44,188,37,4,69
POPSTAR (feat. Drake),DJ Khaled;Drake,rap,2020,163,56,80,-5,13,45,200,6,26,69
All I Want for Christmas Is You,Mariah Carey,natal,1994,150,63,34,-7,7,35,242,16,4,73
One Of Them Girls,Lee Brice,country,2020,96,79,64,-6,11,81,189,29,5,72
Hard To Forget,Sam Hunt,country,2020,130,69,69,-6,57,66,205,23,4,62
One Margarita,Luke Bryan,country,2020,90,84,64,-5,17,74,193,10,5,65
Panini,Lil Nas X,unknown,2019,154,59,70,-6,12,48,115,34,8,66
Hot (feat. Gunna),Young Thug;Gunna,rap,2019,112,65,86,-8,8,56,193,6,24,71
I Hope You’re Happy Now,Carly Pearce;Lee Brice,country,2020,118,81,59,-5,14,31,199,17,4,71
Emotionally Scarred,Lil Baby,unknown,2020,88,64,58,-4,32,27,198,3,13,73
Suicidal,YNW Melly,rap melódico,2019,140,37,74,-10,13,24,223,33,7,77
The Bigger Picture,Lil Baby,unknown,2020,96,62,59,-6,24,15,253,1,33,62
Only Human,Jonas Brothers,unknown,2019,94,50,80,-6,6,87,183,11,7,73
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke;50 Cent;Roddy Ricch,drill do brooklyn,2020,100,62,49,-6,26,29,202,2,10,50
Sum 2 Prove,Lil Baby,unknown,2020,124,55,83,-8,12,41,206,2,27,75
Stuck with U (with Justin Bieber),Ariana Grande;Justin Bieber,pop,2020,179,45,60,-7,38,54,228,22,4,81
Mood Swings (feat. Lil Tjay),Pop Smoke;Lil Tjay,drill do brooklyn,2020,180,60,48,-6,8,27,213,49,37,57
You should be sad,Halsey,unknown,2020,111,58,59,-6,11,32,205,14,3,49
Dior,Pop Smoke,drill do brooklyn,2019,142,80,55,-6,41,65,216,21,35,57
Supalonely (feat. Gus Dapperton),BENEE;Gus Dapperton,bedroom pop,2020,129,63,86,-5,12,84,223,29,5,63
Even Though I'm Leaving,Luke Combs,country,2019,78,76,55,-6,30,62,225,22,3,71
THE SCOTTS,THE SCOTTS;Travis Scott;Kid Cudi,rap,2020,130,54,72,-8,16,28,166,23,5,72
Juicy,Doja Cat;Tyga,unknown,2019,170,65,78,-3,7,48,203,10,7,72
Be Like That - feat. Swae Lee & Khalid,Kane Brown;Swae Lee;Khalid,country,2020,87,63,73,-8,13,32,191,5,7,41
Homesick,Kane Brown,country,2019,97,50,70,-9,23,41,205,46,3,62
Rags2Riches (feat. ATR Son Son),Rod Wave;ATR Son Son,unknown,2020,118,25,90,-18,10,23,167,29,11,0
Bluebird,Miranda Lambert,country,2019,82,63,66,-6,12,61,210,4,3,66
Wishing Well,Juice WRLD,rap melódico,2020,150,61,65,-6,27,8,195,0,13,78
Does To Me (feat. Eric Church),Luke Combs;Eric Church,country,2019,113,85,62,-5,31,64,224,31,4,67
P*$$Y Fairy (OTW),Jhené Aiko,r&b,2020,128,52,57,-7,10,35,182,54,21,65
ily (i love you baby) (feat. Emilee),Surf Mesa;Emilee,unknown,2019,112,77,67,-8,39,33,177,7,9,76
More Than My Hometown,Morgan Wallen,country,2020,126,88,62,-5,13,57,217,60,5,1
Lovin' On You,Luke Combs,country,2019,119,95,57,-5,16,53,195,0,6,69
Said Sum,Moneybagg Yo,unknown,2020,127,67,93,-7,10,27,155,2,35,69
Slide,H.E.R.;YG,r&b,2019,97,47,83,-9,21,20,238,8,34,59
Walk Em Down (feat. Roddy Ricch),NLE Choppa;Roddy Ricch,rap melódico,2020,84,74,87,-5,7,64,173,27,23,73
Levitating,Dua Lipa,pop,2020,103,88,70,-2,21,91,204,6,8,82
Save Your Tears (with Ariana Grande) (Remix),The Weeknd;Ariana Grande,pop,2021,118,82,65,-5,9,59,191,2,3,81
Mood (feat. iann dior),24kGoldn;iann dior,rap melódico,2021,91,72,70,-4,32,73,141,17,4,80
good 4 u,Olivia Rodrigo,unknown,2021,167,66,56,-5,8,69,178,34,15,85
Kiss Me More (feat. SZA),Doja Cat;SZA,r&b,2021,111,70,76,-4,12,74,209,24,3,9
Leave The Door Open,Bruno Mars;Anderson .Paak;Silk Sonic,unknown,2021,148,62,59,-8,9,72,242,18,3,4
drivers license,Olivia Rodrigo,unknown,2021,144,43,56,-9,11,14,242,77,6,86
MONTERO (Call Me By Your Name),Lil Nas X,unknown,2021,179,51,61,-7,38,76,138,30,15,72
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber;Daniel Caesar;GIVĒON,r&b,2021,90,70,68,-6,42,46,198,32,12,84
Butter,BTS,k-pop,2021,110,46,76,-5,9,70,164,0,9,2
STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,unknown,2021,170,76,59,-5,10,48,142,4,5,83
deja vu,Olivia Rodrigo,unknown,2021,181,61,44,-7,37,18,216,58,11,88
positions,Ariana Grande,pop,2020,144,80,74,-5,9,68,172,47,9,81
Bad Habits,Ed Sheeran,o lado suave do pop,2021,126,89,81,-4,37,54,231,5,3,84
Heat Waves,Glass Animals,unknown,2020,81,52,76,-7,9,53,239,44,9,9
WITHOUT YOU,The Kid LAROI,unknown,2020,93,41,66,-7,13,47,161,21,3,5
Forever After All,Luke Combs,country,2020,152,65,49,-5,9,46,232,19,3,82
Astronaut In The Ocean,Masked Wolf,unknown,2021,150,70,78,-7,15,47,133,18,9,72
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande;Doja Cat;Megan Thee Stallion,pop,2021,110,66,88,-6,23,73,182,20,30,58
What You Know Bout Love,Pop Smoke,drill do brooklyn,2020,84,55,71,-8,13,54,160,65,35,58
my ex's best friend (with blackbear),mgk;blackbear,unknown,2020,125,68,73,-5,14,30,139,0,4,75
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,unknown,2021,150,70,74,-7,5,89,212,2,6,76
Therefore I Am,Billie Eilish,unknown,2020,94,34,89,-8,6,72,174,22,7,70
Up,Cardi B,unknown,2021,166,80,87,-6,5,82,157,0,27,69
Fancy Like,Walker Hayes,country,2021,80,76,65,-6,32,84,162,11,6,2
DÁKITI,Bad Bunny;JHAYCO,reggaeton,2020,110,57,73,-10,11,14,205,40,5,83
Best Friend (feat. Doja Cat),Saweetie;Doja Cat,unknown,2021,94,77,84,-4,7,40,156,0,14,68
RAPSTAR,Polo G,unknown,2021,81,54,79,-7,13,44,166,41,24,3
Heartbreak Anniversary,GIVĒON,r&b,2020,89,46,45,-9,30,54,198,52,8,80
Calling My Phone,Lil Tjay;6LACK,drill do brooklyn,2021,105,39,91,-8,14,20,205,45,5,76
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5;Megan Thee Stallion,pop,2021,99,68,71,-5,15,72,227,4,3,77
Holy (feat. Chance The Rapper),Justin Bieber;Chance the Rapper,unknown,2020,87,70,67,-8,9,37,212,20,36,70
On Me,Lil Baby,unknown,2020,78,56,86,-6,13,48,136,0,39,75
you broke me first,Tate McRae,unknown,2020,124,37,67,-9,9,8,169,78,5,6
traitor,Olivia Rodrigo,unknown,2021,101,34,38,-8,12,8,229,69,3,88
Back in Blood (feat. Lil Durk),Pooh Shiesty;Lil Durk,drill de chicago,2020,147,54,76,-8,13,83,184,15,38,69
I Hope (feat. Charlie Puth),Gabby Barrett;Charlie Puth,country,2020,75,58,56,-6,16,41,212,17,4,62
Dynamite,BTS,k-pop,2020,114,76,75,-4,9,74,199,1,10,4
Wockesha,Moneybagg Yo,unknown,2021,82,54,58,-9,7,77,181,13,62,67
You Right,Doja Cat;The Weeknd,unknown,2021,129,62,83,-6,8,44,186,2,6,82
Beat Box 2 (feat. Pooh Shiesty),SpotemGottem;Pooh Shiesty,unknown,2020,160,31,81,-8,10,28,181,12,24,0
Need to Know,Doja Cat,unknown,2021,130,61,66,-7,9,19,211,30,7,81
Wants and Needs (feat. Lil Baby),Drake;Lil Baby,rap,2021,136,45,58,-6,12,10,193,6,29,79
Way 2 Sexy (with Future & Young Thug),Drake;Future;Young Thug,rap,2021,136,60,80,-6,32,33,258,0,14,75
telepatía,Kali Uchis,unknown,2020,84,52,65,-9,20,55,160,11,5,86
Whoopty,CJ,dembow,2020,140,65,72,-8,13,66,123,20,12,65
Lemonade,Internet Money;Gunna;Don Toliver;NAV,rap melódico,2020,140,66,80,-6,11,47,195,26,8,4
Good Days,SZA,r&b,2020,121,66,44,-8,69,41,279,50,6,75
Starting Over,Chris Stapleton,country,2020,89,54,64,-8,7,32,240,45,3,69
Body,Megan Thee Stallion,unknown,2020,94,73,91,-6,11,47,171,2,24,70
willow,Taylor Swift,unknown,2020,81,57,39,-9,14,53,215,83,17,74
Bang!,AJR,unknown,2020,140,52,74,-6,6,70,171,2,5,1
Better Together,Luke Combs,country,2019,138,22,55,-12,11,67,218,83,5,72
You’re Mines Still (feat. Drake),Yung Bleu;Drake,rap,2020,83,61,57,-5,10,34,226,32,12,0
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled;Lil Baby;Lil Durk,drill de chicago,2021,150,73,48,-4,11,23,237,0,29,76
Essence (feat. Justin Bieber & Tems),Wizkid;Justin Bieber;Tems,afrobeats,2021,104,69,84,-6,11,58,263,2,11,62
Chasing After You (with Maren Morris),Ryan Hurd;Maren Morris,country,2021,132,68,60,-6,12,48,208,72,4,61
The Good Ones,Gabby Barrett,country,2020,90,55,52,-5,15,33,215,18,3,73
Leave Before You Love Me (with Jonas Brothers),Marshmello;Jonas Brothers,edm,2021,120,74,72,-5,12,64,155,0,4,82
Glad You Exist,Dan + Shay,country,2021,104,55,75,-6,12,66,145,24,3,56
Lonely (with benny blanco),Justin Bieber;benny blanco,unknown,2020,80,24,63,-7,12,9,149,86,4,70
Beggin',Måneskin,unknown,2017,134,80,71,-5,36,59,212,13,5,87
Streets,Doja Cat,unknown,2019,90,46,75,-8,34,19,227,21,8,85
What’s Next,Drake,rap,2021,130,59,78,-7,16,6,178,1,5,70
Famous Friends,Chris Young;Kane Brown,country,2020,102,86,53,-3,34,64,166,6,4,60
Lil Bit,Nelly;Florida Georgia Line,country,2020,120,69,71,-7,38,41,196,3,4,61
Thot Shit,Megan Thee Stallion,unknown,2021,130,69,95,-3,17,89,185,1,9,67
late at night,Roddy Ricch,rap melódico,2021,99,40,64,-11,14,11,175,34,41,59
Kings & Queens,Ava Max,unknown,2020,130,69,64,-4,12,46,162,1,4,84
Anyone,Justin Bieber,unknown,2021,116,52,68,-8,11,58,191,18,3,73
Track Star,Mooski,unknown,2021,131,60,64,-6,9,28,200,38,32,55
Time Today,Moneybagg Yo,unknown,2021,137,61,91,-8,25,33,137,5,40,73
Cry Baby (feat. DaBaby),Megan Thee Stallion;DaBaby,unknown,2020,130,44,96,-8,22,62,138,0,36,69
No More Parties - Remix,Coi Leray;Lil Durk,drill de chicago,2021,157,39,83,-10,12,72,193,25,56,49
What’s Your Country Song,Thomas Rhett,country,2021,174,71,36,-6,28,48,171,0,3,67
One Too Many,Keith Urban;P!nk,country,2020,83,54,70,-7,57,59,204,25,7,59
Arcade,Duncan Laurence,unknown,2019,72,33,46,-13,14,27,184,82,4,77
Yonaguni,Bad Bunny,reggaeton,2021,180,65,64,-5,14,44,207,28,12,82
GOOD TIME,Niko Moon,country,2021,138,59,80,-7,28,69,215,9,5,65
If I Didn't Love You,Jason Aldean;Carrie Underwood,country,2021,184,68,46,-5,10,48,212,18,3,0
Knife Talk (with 21 Savage ft. Project Pat),Drake;21 Savage;Project Pat,rap,2021,146,42,85,-10,8,15,243,6,32,77
pov,Ariana Grande,pop,2020,132,53,49,-6,10,17,202,36,6,76
Just the Way,Parmalee;Blanco Brown,country,2019,90,83,54,-3,32,82,194,11,4,0
Take My Breath - Single Version,The Weeknd,unknown,2021,121,74,75,-6,10,52,220,1,5,62
We're Good,Dua Lipa,pop,2021,134,59,72,-6,18,59,166,3,5,69
Hell Of A View,Eric Church,country,2020,99,58,69,-7,10,88,175,12,2,58
Rockin' Around The Christmas Tree,Brenda Lee,natal,1964,67,47,60,-9,50,88,126,62,5,67
Put Your Records On,Ritt Momney,bedroom pop,2020,91,49,40,-11,11,15,210,6,5,69
Happier Than Ever,Billie Eilish,unknown,2021,81,22,33,-9,13,30,299,77,3,85
Single Saturday Night,Cole Swindell,country,2020,82,79,62,-5,23,69,188,12,5,55
Things a Man Oughta Know,Lainey Wilson,country,2021,140,68,66,-6,13,40,203,51,3,0
Throat Baby (Go Baby),BRS Kash,unknown,2020,132,52,90,-7,10,21,218,1,15,51
Tombstone,Rod Wave,unknown,2021,84,64,55,-5,13,54,160,60,16,69
Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),Chase Rice;Florida Georgia Line,country,2020,100,68,63,-5,37,72,161,18,3,0
Todo De Ti,Rauw Alejandro,reggaeton,2021,128,72,78,-4,9,34,200,31,5,74
Heat Waves,Glass Animals,unknown,2020,81,52,76,-7,9,53,239,44,9,89
As It Was,Harry Styles,unknown,2022,174,73,52,-5,31,66,167,34,6,92
STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,unknown,2021,170,76,59,-5,10,48,142,4,5,84
Easy On Me,Adele,o lado suave do pop,2021,142,37,60,-8,13,13,225,58,3,84
Shivers,Ed Sheeran,o lado suave do pop,2021,141,86,79,-3,4,82,208,28,9,85
First Class,Jack Harlow,unknown,2022,107,58,90,-6,11,33,174,11,11,77
Big Energy,Latto,unknown,2022,106,79,94,-4,34,79,173,5,12,67
Ghost,Justin Bieber,unknown,2021,154,74,60,-6,42,44,153,18,5,86
Super Gremlin,Kodak Black,unknown,2021,73,41,82,-7,36,11,201,0,14,69
Cold Heart - PNAU Remix,Elton John;Dua Lipa;PNAU,pop,2021,116,80,80,-6,9,93,203,4,3,23
WAIT FOR U (feat. Drake & Tems),Future;Drake;Tems,rap,2022,83,64,46,-4,7,34,190,31,34,56
About Damn Time,Lizzo,unknown,2022,109,74,84,-6,34,72,192,10,7,76
THATS WHAT I WANT,Lil Nas X,unknown,2021,88,85,74,-5,5,55,144,1,22,75
Enemy feat. J.I.D. (from the series Arcane League of Legends),Imagine Dragons;JID,unknown,2021,77,78,72,-4,44,53,173,21,29,0
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,unknown,2021,150,69,74,-7,5,89,212,2,7,77
abcdefu,GAYLE,unknown,2022,122,54,70,-6,37,42,169,30,5,23
Wasted On You,Morgan Wallen,country,2021,196,66,50,-5,13,25,179,37,3,10
Me Porto Bonito,Bad Bunny;Chencho Corleone,reggaeton,2022,92,71,91,-5,9,42,179,9,8,86
Woman,Doja Cat,unknown,2021,108,76,82,-4,12,88,173,9,9,86
Tití Me Preguntó,Bad Bunny,reggaeton,2022,107,72,65,-5,13,19,244,10,25,95
Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,art pop,1985,108,53,62,-12,5,14,301,66,6,5
We Don't Talk About Bruno,Carolina Gaitán - La Gaita;Mauro Castillo;Adassa;Rhenzy Feliz;Diane Guerrero;Stephanie Beatriz;Encanto - Cast,unknown,2021,206,45,58,-9,11,83,216,36,8,76
Late Night Talking,Harry Styles,unknown,2022,115,73,71,-5,11,90,178,30,5,80
I Like You (A Happier Song) (with Doja Cat),Post Malone;Doja Cat,unknown,2022,101,67,73,-6,12,47,193,12,8,78
You Proof,Morgan Wallen,country,2022,120,85,73,-5,60,64,157,25,3,6
Bad Habit,Steve Lacy,unknown,2022,169,49,69,-7,40,70,232,61,4,86
Sunroof,Nicky Youre;hey daisy,unknown,2021,131,71,77,-5,15,84,163,35,4,9
One Right Now (with The Weeknd),Post Malone;The Weeknd,unknown,2022,97,76,68,-5,10,70,193,4,5,69
Numb Little Bug,Em Beihold,unknown,2022,85,53,74,-7,25,64,169,33,8,71
Jimmy Cooks (feat. 21 Savage),Drake;21 Savage,rap,2022,166,67,53,-5,9,37,218,0,18,82
'Til You Can't,Cody Johnson,texas country,2021,160,82,50,-5,11,46,224,5,4,82
Fancy Like,Walker Hayes,country,2022,80,76,65,-6,32,86,162,11,6,72
The Kind of Love We Make,Luke Combs,country,2022,102,74,61,-4,9,46,224,2,3,81
I Ain't Worried,OneRepublic,o lado suave do pop,2022,140,80,70,-6,5,82,148,8,5,61
BREAK MY SOUL,Beyoncé,unknown,2022,115,89,69,-5,27,86,278,6,8,68
Something in the Orange,Zach Bryan,country,2022,175,19,37,-12,10,15,228,56,4,87
Save Your Tears,The Weeknd,unknown,2020,118,82,68,-5,54,64,216,2,3,88
Smokin Out The Window,Bruno Mars;Anderson .Paak;Silk Sonic,unknown,2021,82,62,63,-9,35,85,197,6,4,0
In A Minute,Lil Baby,unknown,2022,79,60,55,-6,11,15,200,3,32,67
Moscow Mule,Bad Bunny,reggaeton,2022,100,67,80,-5,12,29,246,29,3,86
She Had Me At Heads Carolina,Cole Swindell,country,2022,135,91,61,-3,33,72,206,12,6,74
Vegas,Doja Cat,unknown,2022,160,60,79,-8,14,76,183,8,25,56
pushin P (feat. Young Thug),Gunna;Future;Young Thug,rap melódico,2022,78,42,77,-5,13,49,136,1,19,69
Buy Dirt,Jordan Davis;Luke Bryan,country,2021,178,56,59,-7,9,44,167,64,5,79
I Hate U,SZA,r&b,2021,107,39,54,-10,11,41,174,51,16,65
Boyfriend,Dove Cameron,unknown,2022,180,61,34,-7,19,23,153,23,6,74
Glimpse of Us,Joji,unknown,2022,170,32,44,-9,14,27,233,89,5,4
Surface Pressure,Jessica Darrow,unknown,2021,180,58,65,-8,4,37,202,2,31,72
Fall In Love,Bailey Zimmerman,country,2022,136,64,52,-6,22,40,232,45,3,41
love nwantiti (ah ah ah),CKay,afrobeats,2019,93,74,73,-4,16,53,146,36,4,77
Super Freaky Girl,Nicki Minaj,unknown,2022,133,88,95,-3,32,92,171,5,21,62
Hrs & Hrs,Muni Long,unknown,2022,134,52,52,-5,11,66,204,61,16,73
Sand In My Boots,Morgan Wallen,country,2021,70,54,40,-7,11,41,202,59,3,9
MAMIII,Becky G;KAROL G,reggaeton,2022,94,70,84,-4,14,90,226,8,7,77
AA,Walker Hayes,country,2022,104,76,63,-6,34,74,190,0,3,57
Sweetest Pie,Megan Thee Stallion;Dua Lipa,pop,2022,124,63,81,-7,10,69,201,17,21,65
PROVENZA,KAROL G,reggaeton,2022,111,52,87,-8,11,53,210,66,5,73
Essence (feat. Tems),Wizkid;Tems,afrobeats,2020,104,71,85,-6,62,60,249,3,11,78
Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,o lado suave do pop,2022,95,70,76,-6,33,96,206,18,4,63
5 Foot 9,Tyler Hubbard,country,2022,106,79,60,-6,12,56,190,16,4,30
Get Into It (Yuh),Doja Cat,unknown,2021,92,66,91,-6,9,79,138,32,16,73
Efecto,Bad Bunny,reggaeton,2022,98,48,80,-9,6,23,213,14,5,84
Rock and A Hard Place,Bailey Zimmerman,country,2022,122,57,58,-7,10,39,208,58,3,2
Doin' This,Luke Combs,country,2022,115,55,59,-6,11,39,254,17,3,62
Oh My God,Adele,o lado suave do pop,2021,88,72,53,-4,3,55,225,9,5,74
Better Days (feat. Polo G),NEIKED;Mae Muller;Polo G,unknown,2022,110,67,72,-5,9,70,161,0,3,62
Meet Me At Our Spot,THE ANXIETY;WILLOW;Tyler Cole,unknown,2020,95,47,77,-8,9,40,163,2,3,78
Fingers Crossed,Lauren Spencer Smith,unknown,2022,109,47,56,-7,31,44,175,62,5,61
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,unknown,2021,93,52,63,-9,9,20,613,27,3,82
Party,Bad Bunny;Rauw Alejandro,reggaeton,2022,97,80,83,-5,24,47,228,2,9,84
Después de la Playa,Bad Bunny,reggaeton,2022,78,90,56,-3,18,61,230,36,31,79
You Should Probably Leave,Chris Stapleton,country,2020,184,48,60,-8,17,55,213,27,3,86
Broadway Girls (feat. Morgan Wallen),Lil Durk;Morgan Wallen,drill de chicago,2022,75,74,66,-4,30,54,186,4,3,48
Take My Name,Parmalee,country,2021,164,66,56,-4,19,57,158,22,5,0
What Happened To Virgil (feat. Gunna),Lil Durk;Gunna,drill de chicago,2022,140,53,80,-9,13,19,181,7,20,66
PUFFIN ON ZOOTIEZ,Future,rap,2022,125,66,88,-6,13,28,173,6,30,75
Like I Love Country Music,Kane Brown,country,2022,125,80,53,-7,32,69,235,0,4,59
Jingle Bell Rock,Bobby Helms,natal,1957,120,42,75,-8,7,81,131,64,4,66
Ojitos Lindos,Bad Bunny;Bomba Estéreo,reggaeton,2022,80,69,65,-6,53,27,258,8,4,87
That's What Tequila Does,Jason Aldean,country,2021,156,80,52,-5,30,49,189,22,10,0
A Holly Jolly Christmas,Burl Ives,natal,1965,140,38,68,-13,8,89,136,58,3,57
Kiss Me More (feat. SZA),Doja Cat;SZA,r&b,2021,111,70,76,-3,12,78,209,26,3,86
